tarefa,tecnica,input,esperado,resposta,acuracia,tokens_prompt,tokens_resposta,tokens_total,tempo_ms
classificacao_sentimento,zero_shot,"Produto excelente, chegou rapido!",POSITIVO,NEGATIVO,0.0,106,4,110,1569
classificacao_sentimento,few_shot,"Produto excelente, chegou rapido!",POSITIVO,POSITIVO,1.0,155,3,158,148
classificacao_sentimento,chain_of_thought,"Produto excelente, chegou rapido!",POSITIVO,POSITIVO,1.0,174,3,177,172
classificacao_sentimento,role_prompting,"Produto excelente, chegou rapido!",POSITIVO,POSITIVO.,1.0,222,4,226,248
classificacao_sentimento,zero_shot,"Veio quebrado, pessimo atendimento.",NEGATIVO,NEGATIVO,1.0,110,4,114,170
classificacao_sentimento,few_shot,"Veio quebrado, pessimo atendimento.",NEGATIVO,MISTO,0.0,159,4,163,149
classificacao_sentimento,chain_of_thought,"Veio quebrado, pessimo atendimento.",NEGATIVO,MISTO,0.0,178,4,182,170
classificacao_sentimento,role_prompting,"Veio quebrado, pessimo atendimento.",NEGATIVO,NEGATIVO,1.0,226,4,230,248
classificacao_sentimento,zero_shot,Bom preco mas qualidade media.,MISTO,POSITIVO,0.0,105,3,108,165
classificacao_sentimento,few_shot,Bom preco mas qualidade media.,MISTO,NEUTRO,0.0,154,4,158,150
classificacao_sentimento,chain_of_thought,Bom preco mas qualidade media.,MISTO,POSITIVO,0.0,173,4,177,172
classificacao_sentimento,role_prompting,Bom preco mas qualidade media.,MISTO,NEUTRO,0.0,221,4,225,249
classificacao_sentimento,zero_shot,"Entrega no prazo, produto conforme anunciado.",NEUTRO,POSITIVO.,0.0,109,4,113,172
classificacao_sentimento,few_shot,"Entrega no prazo, produto conforme anunciado.",NEUTRO,POSITIVO,0.0,158,3,161,140
classificacao_sentimento,chain_of_thought,"Entrega no prazo, produto conforme anunciado.",NEUTRO,NEUTRO,1.0,177,4,181,171
classificacao_sentimento,role_prompting,"Entrega no prazo, produto conforme anunciado.",NEUTRO,NEUTRO,1.0,225,4,229,251
classificacao_sentimento,zero_shot,"Amei a cor, mas o ziper quebrou no primeiro uso.",MISTO,POSITIVO,0.0,115,3,118,180
classificacao_sentimento,few_shot,"Amei a cor, mas o ziper quebrou no primeiro uso.",MISTO,POSITIVO,0.0,164,3,167,140
classificacao_sentimento,chain_of_thought,"Amei a cor, mas o ziper quebrou no primeiro uso.",MISTO,MISTO,1.0,183,4,187,172
classificacao_sentimento,role_prompting,"Amei a cor, mas o ziper quebrou no primeiro uso.",MISTO,NEGATIVO,0.0,231,4,235,308
extracao_dados,zero_shot,Notebook Dell de R$3500 com pixels mortos na tela.,"{'produto': 'Notebook Dell', 'preco': 'R$3500', 'defeito': 'pixels mortos na tela'}","{""produto"": ""Notebook Dell"", ""preco"": ""R$ 3500"", ""defeito"": ""pixels mortos na tela""}",0.6666666666666666,125,32,157,423
extracao_dados,few_shot,Notebook Dell de R$3500 com pixels mortos na tela.,"{'produto': 'Notebook Dell', 'preco': 'R$3500', 'defeito': 'pixels mortos na tela'}","{""produto"": ""Notebook Dell"", ""preco"": ""R$3500"", ""defeito"": ""pixels mortos""}",1.0,227,29,256,402
extracao_dados,chain_of_thought,Notebook Dell de R$3500 com pixels mortos na tela.,"{'produto': 'Notebook Dell', 'preco': 'R$3500', 'defeito': 'pixels mortos na tela'}","```json
{
  ""produto"": ""Notebook Dell"",
  ""preco"": ""R$3500"",
  ""defeito"": ""pixels mortos na tela""
}
```

Espero que isso seja o que você estava procurando! Se tiver alguma dúvida ou precisar de ajuda adicional, basta perguntar.",1.0,203,77,280,789
extracao_dados,role_prompting,Notebook Dell de R$3500 com pixels mortos na tela.,"{'produto': 'Notebook Dell', 'preco': 'R$3500', 'defeito': 'pixels mortos na tela'}","```json
{
  ""produto"": ""Notebook Dell"",
  ""preco"": ""R$3500"",
  ""defeito"": ""pixels mortos na tela""
}
```

Essa foi a informacao extraida com base no texto fornecido. A extracao de entidades foi realizada com precisao, priorizando apenas as informações explicitas mencionadas no texto.",1.0,233,83,316,912
extracao_dados,zero_shot,Comprei uma cafeteira Nespresso por R$890 e o reservatorio vaza.,"{'produto': 'cafeteira Nespresso', 'preco': 'R$890', 'defeito': 'reservatorio vaza'}","{""produto"": ""cafeteira Nespresso"", ""preco"": ""R$890"", ""defeito"": ""reservatorio vaza""}",1.0,130,32,162,423
extracao_dados,few_shot,Comprei uma cafeteira Nespresso por R$890 e o reservatorio vaza.,"{'produto': 'cafeteira Nespresso', 'preco': 'R$890', 'defeito': 'reservatorio vaza'}","{""produto"": ""cafeteira Nespresso"", ""preco"": ""R$890"", ""defeito"": ""reservatorio vaza""}",1.0,232,32,264,420
extracao_dados,chain_of_thought,Comprei uma cafeteira Nespresso por R$890 e o reservatorio vaza.,"{'produto': 'cafeteira Nespresso', 'preco': 'R$890', 'defeito': 'reservatorio vaza'}","{
  ""produto"": ""cafeteira Nespresso"",
  ""preco"": ""R$890"",
  ""defeito"": ""reservatorio vaza""
}",1.0,208,37,245,449
extracao_dados,role_prompting,Comprei uma cafeteira Nespresso por R$890 e o reservatorio vaza.,"{'produto': 'cafeteira Nespresso', 'preco': 'R$890', 'defeito': 'reservatorio vaza'}","```json
{""produto"": ""cafeteira Nespresso"", ""preco"": 890, ""defeito"": ""reservatorio vaza""}
```

Espero que as informações extraias sejam precisas. Se houver alguma dúvida ou precisarmos de mais dados, basta me informar!",0.6666666666666666,238,71,309,810
extracao_dados,zero_shot,"Fone Sony WH-1000XM5 custou R$1899, bateria dura so 2 horas.","{'produto': 'Fone Sony WH-1000XM5', 'preco': 'R$1899', 'defeito': 'bateria dura so 2 horas'}","{""produto"": ""Fone Sony WH-1000XM5"", ""preco"": ""R$1899"", ""defeito"": ""bateria dura apenas 2 horas""}",0.6666666666666666,135,40,175,491
extracao_dados,few_shot,"Fone Sony WH-1000XM5 custou R$1899, bateria dura so 2 horas.","{'produto': 'Fone Sony WH-1000XM5', 'preco': 'R$1899', 'defeito': 'bateria dura so 2 horas'}","{""produto"": ""Fone Sony WH-1000XM5"", ""preco"": ""R$1899"", ""defeito"": ""bateria dura so 2 horas""}",1.0,237,40,277,493
extracao_dados,chain_of_thought,"Fone Sony WH-1000XM5 custou R$1899, bateria dura so 2 horas.","{'produto': 'Fone Sony WH-1000XM5', 'preco': 'R$1899', 'defeito': 'bateria dura so 2 horas'}","{""produto"": ""Fone Sony WH-1000XM5"", ""preco"": ""R$1899"", ""defeito"": ""bateria dura so 2 horas""}",1.0,213,40,253,483
extracao_dados,role_prompting,"Fone Sony WH-1000XM5 custou R$1899, bateria dura so 2 horas.","{'produto': 'Fone Sony WH-1000XM5', 'preco': 'R$1899', 'defeito': 'bateria dura so 2 horas'}","```json
{""produto"": ""Fone Sony WH-1000XM5"", ""preco"": ""R$1899"", ""defeito"": ""bateria dura so 2 horas""}
```

Existe um defeito mencionado no texto. O produto não apresenta nenhum outro problema.",1.0,243,66,309,790
extracao_dados,zero_shot,Mesa gamer por R$1200 chegou com perna torta.,"{'produto': 'Mesa gamer', 'preco': 'R$1200', 'defeito': 'perna torta'}","{""produto"": ""Mesa gamer"", ""preco"": ""R$1200"", ""defeito"": ""perna torta""}",1.0,126,30,156,408
extracao_dados,few_shot,Mesa gamer por R$1200 chegou com perna torta.,"{'produto': 'Mesa gamer', 'preco': 'R$1200', 'defeito': 'perna torta'}","{""produto"": ""Mesa gamer"", ""preco"": ""R$1200"", ""defeito"": ""perna torta""}",1.0,228,30,258,408
extracao_dados,chain_of_thought,Mesa gamer por R$1200 chegou com perna torta.,"{'produto': 'Mesa gamer', 'preco': 'R$1200', 'defeito': 'perna torta'}","{
  ""produto"": ""Mesa gamer"",
  ""preco"": ""R$1200"",
  ""defeito"": ""Perna torta""
}",1.0,204,35,239,433
extracao_dados,role_prompting,Mesa gamer por R$1200 chegou com perna torta.,"{'produto': 'Mesa gamer', 'preco': 'R$1200', 'defeito': 'perna torta'}","```json
{""produto"": ""Mesa gamer"", ""preco"": ""R$1200"", ""defeito"": ""perna torta""}
```

Espero que isso atenda às suas necessidades. Se precisar de mais ajuda, estou à disposição!",1.0,234,61,295,751
extracao_dados,zero_shot,"Camiseta Nike R$149, tecido fino demais para o preco.","{'produto': 'Camiseta Nike', 'preco': 'R$149', 'defeito': 'tecido fino demais para o preco'}","{""produto"": ""Camiseta Nike"", ""preco"": ""R$149"", ""defeito"": ""tecnido fino demais para o preco""}",0.6666666666666666,127,35,162,443
extracao_dados,few_shot,"Camiseta Nike R$149, tecido fino demais para o preco.","{'produto': 'Camiseta Nike', 'preco': 'R$149', 'defeito': 'tecido fino demais para o preco'}","{""produto"": ""Camiseta Nike"", ""preco"": ""R$149"", ""defeito"": ""tecido fino demais para o preco""}",1.0,229,34,263,443
extracao_dados,chain_of_thought,"Camiseta Nike R$149, tecido fino demais para o preco.","{'produto': 'Camiseta Nike', 'preco': 'R$149', 'defeito': 'tecido fino demais para o preco'}","{
  ""produto"": ""Camiseta Nike"",
  ""preco"": ""R$149"",
  ""defeito"": ""tecido fino demais para o preco""
}",1.0,205,39,244,467
extracao_dados,role_prompting,"Camiseta Nike R$149, tecido fino demais para o preco.","{'produto': 'Camiseta Nike', 'preco': 'R$149', 'defeito': 'tecido fino demais para o preco'}","```json
{""produto"": ""Camiseta Nike"", ""preco"": ""R$149"", ""defeito"": ""tecnido fino""}
```

Espero que isso esteja correto. Se precisar de mais alguma coisa, basta perguntar!",0.6666666666666666,235,60,295,723
sumarizacao_avaliacao,zero_shot,"Comprei o aspirador RoboClean 3000 por R$899. Aspira bem carpetes e madeira, mas esbarra nos moveis e a bateria nao completa a casa toda. App funciona, porem travou duas vezes. Suporte respondeu em 24h. No geral util, mas esperava mais autonomia.",aspirador; boa succao; bateria curta; app instavel; suporte ok,"Aqui estão os principais pontos da avaliação do aspirador RoboClean 3000:

• O aspirador RoboClean 3000 assoala bem carpetes e madeira, mas tem problemas de estabilidade com moveis.
• A bateria não consegue completar a casa toda e o dispositivo travou duas vezes durante uso.
• Embora o suporte tenha respondido rapidamente, a expectativa era maior autonomia.",0.375,172,94,266,970
sumarizacao_avaliacao,few_shot,"Comprei o aspirador RoboClean 3000 por R$899. Aspira bem carpetes e madeira, mas esbarra nos moveis e a bateria nao completa a casa toda. App funciona, porem travou duas vezes. Suporte respondeu em 24h. No geral util, mas esperava mais autonomia.",aspirador; boa succao; bateria curta; app instavel; suporte ok,"* O aspirador RoboClean 3000 demonstra eficiência em carpetes e madeira.
* A autonomia da bateria é insatisfatória para cobrir uma casa inteira.
* O suporte do aplicativo resolve problemas rapidamente.",0.375,215,55,270,580
sumarizacao_avaliacao,chain_of_thought,"Comprei o aspirador RoboClean 3000 por R$899. Aspira bem carpetes e madeira, mas esbarra nos moveis e a bateria nao completa a casa toda. App funciona, porem travou duas vezes. Suporte respondeu em 24h. No geral util, mas esperava mais autonomia.",aspirador; boa succao; bateria curta; app instavel; suporte ok,"Aqui estão os principais pontos da avaliação do aspirador RoboClean 3000:

* O aspirador funciona bem para carpetes e madeira, mas apresenta problemas com obstáculos como móveis.
* A autonomia da bateria não é satisfatória, pois não consegue completar a limpeza de toda a casa.
* O suporte do aplicativo foi rápido e eficaz em resolver o problema.",0.375,236,92,328,920
sumarizacao_avaliacao,role_prompting,"Comprei o aspirador RoboClean 3000 por R$899. Aspira bem carpetes e madeira, mas esbarra nos moveis e a bateria nao completa a casa toda. App funciona, porem travou duas vezes. Suporte respondeu em 24h. No geral util, mas esperava mais autonomia.",aspirador; boa succao; bateria curta; app instavel; suporte ok,"### Resumo da Avaliação:

* O aspirador RoboClean 3000 atende às necessidades de limpeza em carpetes e madeira.
* Experiência mista com a autonomia da bateria, que não completa a casa toda como esperado.
* Suporte eficiente pelo aplicativo.",0.375,288,67,355,822
sumarizacao_avaliacao,zero_shot,"Relogio Garmin Forerunner 255: GPS preciso, pulseira confortavel, mas o visor riscou facil. Sincroniza com Strava sem problemas. Preco alto para o que oferece em relacao a concorrentes chineses.",GPS preciso; visor fragil; sync ok; preco alto,"*   O Relogio Garmin Forerunner 255 possui GPS preciso e uma pulseira confortável.
*   No entanto, o visor do dispositivo riscou facilmente.
*   Sincroniza-se com Strava sem problemas.",0.42857142857142855,154,54,208,640
sumarizacao_avaliacao,few_shot,"Relogio Garmin Forerunner 255: GPS preciso, pulseira confortavel, mas o visor riscou facil. Sincroniza com Strava sem problemas. Preco alto para o que oferece em relacao a concorrentes chineses.",GPS preciso; visor fragil; sync ok; preco alto,"* O Relogio Garmin Forerunner 255 possui um GPS preciso e uma pulseira confortável.
* No entanto, o visor do dispositivo riscou facilmente.
* Sincroniza-se com Strava sem problemas e oferece boa qualidade para o preço.",0.42857142857142855,197,60,257,626
sumarizacao_avaliacao,chain_of_thought,"Relogio Garmin Forerunner 255: GPS preciso, pulseira confortavel, mas o visor riscou facil. Sincroniza com Strava sem problemas. Preco alto para o que oferece em relacao a concorrentes chineses.",GPS preciso; visor fragil; sync ok; preco alto,"Aqui estão os 3 pontos principais resumindo a avaliação do Relógio Garmin Forerunner 255:

*   Pontos positivos:
    *   GPS preciso
    *   Pulseira confortável
*   Pontos negativos:
    *   Visor riscou facil
    *   Preço alto em relação aos concorrentes chineses",0.5714285714285714,218,81,299,827
sumarizacao_avaliacao,role_prompting,"Relogio Garmin Forerunner 255: GPS preciso, pulseira confortavel, mas o visor riscou facil. Sincroniza com Strava sem problemas. Preco alto para o que oferece em relacao a concorrentes chineses.",GPS preciso; visor fragil; sync ok; preco alto,"* O GPS do Relogio Garmin Forerunner 255 é preciso e confiável.
* A pulseira é confortável, mas o visor mostrou um problema que precisaria ser corrigido.
* O preço do relógio é considerado alto em comparação com concorrentes chineses.",0.5714285714285714,270,69,339,825
sumarizacao_avaliacao,zero_shot,"Kit panelas Tramontina antiaderente: nao gruda, facil de limpar, cabos esquentam no fogao a gas. Veio completo com 5 pecas. Embalagem ecologica. Recomendo para quem cozinha pouco.",antiaderente; cabos esquentam; kit completo; recomendado uso leve,"*   O kit de panelas Tramontina antiaderente apresentou excelentes características: não gruda e é fácil de limpar.
*   A embalagem foi ecologicamente correta, além de ser completa com 5 peças.
*   Recomenda-se para quem cozinha pouco, pois a quantidade de equipamentos pode não ser suficiente.",0.25,153,78,231,853
sumarizacao_avaliacao,few_shot,"Kit panelas Tramontina antiaderente: nao gruda, facil de limpar, cabos esquentam no fogao a gas. Veio completo com 5 pecas. Embalagem ecologica. Recomendo para quem cozinha pouco.",antiaderente; cabos esquentam; kit completo; recomendado uso leve,"* O kit panelas Tramontina antiaderente é uma opção recomendável para quem cozinha pouco, pois é fácil de limpar e os cabos esquentam rapidamente no fogão a gas.
* A embalagem ecologica é um ponto positivo, mas não é suficiente para justificar a compra de um produto que pode não ser adequado para uso frequente.
* Embora seja uma opção razoável para quem cozinha com frequência, o kit panelas Tramontina antiaderente não é a melhor escolha devido à sua limitação no número de peças e à recomendação específica para cozinheiros que cozinhao pouco.",0.625,196,148,344,1416
sumarizacao_avaliacao,chain_of_thought,"Kit panelas Tramontina antiaderente: nao gruda, facil de limpar, cabos esquentam no fogao a gas. Veio completo com 5 pecas. Embalagem ecologica. Recomendo para quem cozinha pouco.",antiaderente; cabos esquentam; kit completo; recomendado uso leve,"Aqui estão os 3 principais pontos da avaliação do Kit panelas Tramontina antiaderente:

*   **Ponto positivo**: O kit é fácil de limpar e as cabos esquentam no fogão a gas.
*   **Ponto neutro**: A embalagem é ecologicamente correta, mas não há informações sobre a qualidade dos materiais utilizados nos panelas.
*   **Ponto negativo**: A recomendação para quem cozinha pouco pode ser considerada uma limitação para quem gosta de fazer grandes quantidades de comida.",0.5,217,124,341,1204
sumarizacao_avaliacao,role_prompting,"Kit panelas Tramontina antiaderente: nao gruda, facil de limpar, cabos esquentam no fogao a gas. Veio completo com 5 pecas. Embalagem ecologica. Recomendo para quem cozinha pouco.",antiaderente; cabos esquentam; kit completo; recomendado uso leve,"**Resumo da Avaliação**

* O kit de panelas Tramontina antiaderente atendeu às expectativas do cliente em termos de qualidade e funcionalidade.
* A embalagem ecologica foi uma boa surpresa e demonstra a preocupação com o meio ambiente.
* Embora o cliente tenha mencionado que não cozinha muito, a recomendação para quem cozinha pouco é razoável considerando as características do produto.",0.25,269,101,370,1107
sumarizacao_avaliacao,zero_shot,"Cadeira ergonomica FlexChair Pro: lombar ajustavel, tecido respiravel, montagem demorou 2 horas. Rodinhas fazem barulho no piso laminado. Valeu o investimento para home office.",ergonomica; montagem longa; rodinhas ruidosas; bom home office,"*   A cadeira ergonomica FlexChair Pro apresenta uma boa ajustabilidade do lombar, o que é benéfico para o conforto e a saúde dos usuários.
*   No entanto, a montagem da cadeira demorou um tempo prolongado (2 horas), o que pode ser considerado um ponto fraco no processo de entrega e uso.
*   A combinação do tecido respirável com o som das rodinhas pode ser considerada um inconveniente para quem trabalha em ambientes residenciais, especialmente se for usado em pisos laminados.",0.5,150,126,276,1261
sumarizacao_avaliacao,few_shot,"Cadeira ergonomica FlexChair Pro: lombar ajustavel, tecido respiravel, montagem demorou 2 horas. Rodinhas fazem barulho no piso laminado. Valeu o investimento para home office.",ergonomica; montagem longa; rodinhas ruidosas; bom home office,"• Cadeira ergonomica FlexChair Pro é uma boa escolha para o home office, com ajustes em lombar e tecido respirável.
• A montagem da cadeira demorou 2 horas, o que pode ser um ponto a ser considerado pela equipe de produto.
• Embora tenham sido feitas rodinhas no piso laminado, o cliente acredita que valeu o investimento.",0.625,193,92,285,902
sumarizacao_avaliacao,chain_of_thought,"Cadeira ergonomica FlexChair Pro: lombar ajustavel, tecido respiravel, montagem demorou 2 horas. Rodinhas fazem barulho no piso laminado. Valeu o investimento para home office.",ergonomica; montagem longa; rodinhas ruidosas; bom home office,"Aqui estão os principais pontos da avaliação do FlexChair Pro:

• **Pontos positivos**: O FlexChair Pro oferece uma boa ergonomia com lombar ajustável e tecido respirável, o que é ideal para trabalhos longos em casa.

• **Pontos negativos**: A montagem demorou 2 horas e as rodinhas fazem barulho no piso laminado, o que pode ser um problema de silêncio.

• **Validade do investimento**: Considerando os pontos positivos, parece que vale a pena investir no FlexChair Pro para um ambiente de trabalho eficiente em casa.",0.25,214,137,351,1314
sumarizacao_avaliacao,role_prompting,"Cadeira ergonomica FlexChair Pro: lombar ajustavel, tecido respiravel, montagem demorou 2 horas. Rodinhas fazem barulho no piso laminado. Valeu o investimento para home office.",ergonomica; montagem longa; rodinhas ruidosas; bom home office,"* A cadeira FlexChair Pro apresentou uma boa ajustabilidade e material respirável, o que é benéfico para uso prolongado.
* No entanto, a montagem demorou mais de duas horas, o que pode ser considerado um ponto fraco.
* Embora as rodinhas façam barulho no piso laminado, isso não parece afetar significativamente a utilidade da cadeira.",0.375,266,90,356,1035
sumarizacao_avaliacao,zero_shot,Livro entregue com capa amassada e paginas faltando no meio. Comprei pela promocao de R$29.90. Vendedor ofereceu reembolso parcial. Experiencia frustrante.,produto danificado; paginas faltando; reembolso parcial; frustrante,"*   O livro apresentou problemas de qualidade, com a capa amassada e as páginas faltando no meio.
*   A experiência de compra foi frustrante devido à falta de qualidade do produto e à oferta de reembolso parcial pelo vendedor.
*   O valor pago durante a promoção de R$29.90 não parece ter sido justo considerando a qualidade do produto entregue.",0.7142857142857143,147,89,236,941
sumarizacao_avaliacao,few_shot,Livro entregue com capa amassada e paginas faltando no meio. Comprei pela promocao de R$29.90. Vendedor ofereceu reembolso parcial. Experiencia frustrante.,produto danificado; paginas faltando; reembolso parcial; frustrante,"- Livro apresentou problemas de manuseio e deterioração da capa.
- Compreção feita durante uma promoção, o que diminuiu a expectativa do cliente.
- A oferta de reembolso parcial pelo vendedor não resolveu completamente a frustração do cliente.",0.2857142857142857,190,63,253,654
sumarizacao_avaliacao,chain_of_thought,Livro entregue com capa amassada e paginas faltando no meio. Comprei pela promocao de R$29.90. Vendedor ofereceu reembolso parcial. Experiencia frustrante.,produto danificado; paginas faltando; reembolso parcial; frustrante,"Aqui estão os três principais pontos da avaliação:

*   O livro não atendeu às expectativas do cliente, pois estava com a capa amassada e as páginas faltando no meio.
*   A experiência de compra foi frustrante, especialmente após o vendedor oferecer um reembolso parcial.
*   O valor pago foi R$29.90, o que não parece uma transação justa considerando a qualidade do produto.",0.7142857142857143,211,100,311,999
sumarizacao_avaliacao,role_prompting,Livro entregue com capa amassada e paginas faltando no meio. Comprei pela promocao de R$29.90. Vendedor ofereceu reembolso parcial. Experiencia frustrante.,produto danificado; paginas faltando; reembolso parcial; frustrante,"* O livro apresentou um problema de entrega, com a capa amassada e páginas faltando no meio.
* A compra foi feita pela promocao de R$29,90 e o vendedor ofereceu reembolso parcial, o que não resolveu completamente a situação.
* A experiência do cliente foi frustrante devido à falta de solução completa para o problema apresentado.",0.5714285714285714,263,89,352,1001
